NO,기업명,기업코드 첨부내용,ESG등급,환경,사회,지배구조,평가년도,비고 (조정시기)
1033,AJ네트웍스,095570,B+,C,B+,B+,2022,
1032,AK홀딩스,006840,B+,B,A,B,2022,
1031,AP시스템,265520,D,D,C,C,2022,
1030,BGF,027410,B+,A,A+,B,2022,
1029,BGF리테일,282330,A,A,A+,A,2022,
1028,BNK금융지주,138930,A,A,A,A,2022,
1027,BNK캐피탈,801190,-,-,-,B+,2022,
1026,BYC,001460,D,D,D,D,2022,
1025,CJ,001040,B+,B+,A,B+,2022,
1024,CJ CGV,079160,B+,B,B+,B+,2022,
1023,CJ ENM,035760,B+,B+,A,B,2022,
1022,CJ대한통운,000120,B+,B+,A+,B,2022,
1021,CJ씨푸드,011150,B,C,B,B,2022,
1020,CJ제일제당,097950,A,A,A,B+,2022,
1019,CJ프레시웨이,051500,A,B,A,A,2022,
1018,CMG제약,058820,D,D,D,D,2022,
1017,CS홀딩스,000590,C,D,D,B,2022,
1016,DB,012030,B,D,B,B+,2022,
1015,DB금융투자,016610,B,C,B,B,2022,
1014,DB생명보험,818158,-,-,-,B+,2022,
1013,DB손해보험,005830,B+,B+,A,B+,2022,
1012,DB하이텍,000990,B,B,B+,B,2022,
1011,DGB금융지주,139130,A,A+,A+,A,2022,
1010,DGB생명보험,813363,-,-,-,B+,2022,
1009,DL,000210,A,A,A+,A,2022,
1008,DL건설,001880,A,A,A,B+,2022,
1007,DL이앤씨,375500,A,A,A,A,2022,(2022.11) 사회 등급 조정
1006,DRB동일,004840,C,D,B+,B,2022,
1005,DSR,155660,D,D,C,D,2022,
1004,DSR제강,069730,C,D,C,B,2022,
1003,E1,017940,B+,B+,B+,B+,2022,
1002,F&F 홀딩스,007700,B,B,B+,B,2022,
1001,GKL,114090,A,B,A,A,2022,
1000,GS,078930,A,B+,A+,A,2022,
999,GS건설,006360,A,A,A,A,2022,(2022.11) 사회 등급 조정
998,GS글로벌,001250,B+,C,B+,B+,2022,
997,GS리테일,007070,A,B+,A,A,2022,
996,HDC,012630,C,D,B,C,2022,
995,HDC랩스,039570,D,D,D,D,2022,
994,HDC현대EP,089470,C,C,B,C,2022,
993,HDC현대산업개발,294870,C,D,C,B,2022,(2022.11) 사회 등급 조정
992,HD현대,267250,A,B+,A,A,2022,
991,HJ중공업,097230,B,C,B+,B+,2022,
990,HL D&I,014790,B+,B+,A,B+,2022,(2022.11) 사회 등급 조정에 따른 통합등급 조정
989,HLB,028300,C,C,B,D,2022,
988,HLB생명과학,067630,C,D,B,B,2022,
987,HL글로벌,003580,D,D,C,D,2022,
986,HMM,011200,A,A+,A,B+,2022,
985,HSD엔진,082740,B+,B,A,B+,2022,
984,JB금융지주,175330,A,A,A+,A,2022,
983,JW생명과학,234080,C,C,B+,C,2022,
982,JW중외제약,001060,C,B,B+,D,2022,
981,JW홀딩스,096760,B+,C,B+,B+,2022,
980,JYP Ent.,035900,B,C,A,B,2022,
979,KB금융지주,105560,A+,A+,A+,A+,2022,
978,KB손해보험,002550,-,-,-,A,2022,
977,KB캐피탈,021960,-,-,-,A,2022,
976,KCC건설,021320,D,D,D,D,2022,
975,KCI,036670,C,B,B+,C,2022,
974,KC그린홀딩스,009440,D,D,D,C,2022,
973,KC코트렐,119650,D,D,D,C,2022,
972,KEC,092220,C,C,D,C,2022,
971,KG ETS,151860,D,C,D,D,2022,
970,KG모빌리언스,046440,D,D,D,C,2022,
969,KG스틸,016380,C,B,B+,D,2022,
968,KG이니시스,035600,D,D,C,D,2022,
967,KG케미칼,001390,D,D,D,D,2022,
966,KH 필룩스,033180,D,D,C,D,2022,
965,KH바텍,060720,B+,B,A,B+,2022,
964,KISCO홀딩스,001940,C,C,D,C,2022,
